code,link_sec,date,doc_title,link_eng,link_es
 PR-4681 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4681,19 abr 2019,"Argentina. Propuesta de préstamo para el “Proyecto de Mejora del Corredor de la Ruta Provincial No. 82, Provincia de Mendoza”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11065,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10855
 PR-4680 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4680,16 abr 2019,Panamá. Propuesta de préstamo para el “Programa de Apoyo a Políticas de Igualdad de Género”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11064,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10854
 PR-4679 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4679,16 abr 2019,Ecuador. Propuesta de préstamo para el “Programa de Emergencia para la Sostenibilidad Macroeconómica y la Prosperidad”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11061,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10853
 PR-4678 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4678,09 abr 2019,"Colombia. Propuesta de préstamo para el “Programa Nacional para Asegurar un Suministro de Energía Sostenible y Eficiente, Fase II”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11057,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10852
 PR-4677 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4677,02 abr 2019,"Bolivia. Propuesta de préstamo para el “Programa de Reformas de Política de los Sectores de Agua, Saneamiento, Residuos Sólidos y de Recursos Hídricos en Bolivia”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11049,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10850
 PR-4676 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4676,8-Mar-19,Brasil. Propuesta de préstamo para el “Programa de Ampliación y Mejoramiento de los Servicios de Agua Potable del Estado de Rio Grande do Sul - PROSASUL”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11047,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10847
 PR-4675 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4675,5-Mar-19,Ecuador. Propuesta de préstamo para el “Programa de Agua Potable y Alcantarillado para Quito”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11043,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10845
 PR-4674 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4674,1-Mar-19,Bolivia. Propuesta de préstamo para el “Programa de Fortalecimiento de la Gestión del Medio Ambiente y los Recursos Naturales II”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11042,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10844
 PR-4673 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4673,12-Feb-19,"Argentina. Propuesta de préstamo para el “Programa para el Fortalecimiento de la Agenda Digital: Conectividad, Gobierno Electrónico y Transformación Productiva Digital”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11040,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10843
 PR-117-10 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-117-10,31-Jul-97,"México. Línea de crédito rotatoria 90/OC-ME-F al Banco Nacional de Comercio Exterior, S.N.C. para el Financiamiento de Exportaciones de Bienes de Capital y de Servicios a Mediano Plazo. Modificación de la Resolución DE-224/92",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=213406,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=213405
